TAZ,Agriculture,FIRE,Hotel,TransportConstruction,Services,Healthcare,Retail,Wholesale,Education,Manufacturing,Military,Public
303,5,3,0,0,2,0,0,0,0,0,0,0
304,0,0,0,13,14,0,7,0,4,0,0,0
305,0,136,0,12,352,40,235,2,5,2,0,0
306,0,10,0,2,106,5,1,0,98,0,0,0
307,3,0,0,1,0,0,0,6,0,0,0,0
308,0,2,0,10,4,0,4,0,30,0,0,0
311,3,9,0,7,33,0,3,5,0,0,0,0
312,0,3,0,0,0,46,0,0,54,0,0,0
313,0,0,0,2,0,0,0,0,0,0,0,0
314,0,6,0,0,6,0,0,0,124,0,0,150
315,0,6,0,4,2,3,0,3,0,0,0,0
316,0,3,0,0,0,0,7,0,0,0,0,0
317,0,7,0,0,3,0,0,0,3,0,0,0
318,0,2,0,0,0,0,5,0,31,0,0,18
319,0,27,0,35,20,0,8,0,0,3,0,0
320,0,2,0,5,3,0,0,0,0,0,0,0
321,0,0,0,4,0,0,0,14,0,0,0,0
322,0,3,0,11,0,0,0,0,0,0,0,58
323,0,0,0,12,9,0,0,6,0,0,0,0
324,2,6,0,1,1,0,0,0,0,2,0,0
325,0,70,25,0,619,14,508,0,5,14,0,0
326,0,0,0,0,0,0,0,0,111,0,0,0
328,0,12,0,25,15,71,6,0,85,0,0,9
329,0,7,0,18,2,0,0,0,0,0,0,0
